method,alpha_help,alpha_harm,help,harm,safe
EPEC_GenARM,0.0,1.0,1.873206787109375,-13.184609375,13.184609375
EPEC_GenARM,0.2,0.8,2.3197021484375,-9.99546875,9.99546875
EPEC_GenARM,0.4,0.6,4.0724609375,-6.531708984375,6.531708984375
EPEC_GenARM,0.6,0.4,5.8728759765625,0.14325439453125,-0.14325439453125
EPEC_GenARM,0.8,0.2,7.85068359375,9.8984033203125,-9.8984033203125
EPEC_GenARM,1.0,0.0,9.75416015625,16.512578125,-16.512578125
EPEC_PARM,0.0,1.0,2.7832373046875,-11.404375,11.404375
EPEC_PARM,0.2,0.8,3.206181640625,-11.358828125,11.358828125
EPEC_PARM,0.4,0.6,3.436650390625,-7.93765625,7.93765625
EPEC_PARM,0.6,0.4,6.09064453125,2.2975830078125,-2.2975830078125
EPEC_PARM,0.8,0.2,9.821796875,14.253836059570313,-14.253836059570313
EPEC_PARM,1.0,0.0,10.841484375,16.87734375,-16.87734375
GenARM,0.0,1.0,-2.443603515625,-10.649605712890626,10.649605712890626
GenARM,0.2,0.8,-0.044273681640625,-4.916545486450195,4.916545486450195
GenARM,0.4,0.6,3.2116650390625,5.0870703125,-5.0870703125
GenARM,0.6,0.4,4.92477294921875,10.8002734375,-10.8002734375
GenARM,0.8,0.2,5.3462353515625,13.73646484375,-13.73646484375
GenARM,1.0,0.0,5.2885791015625,13.68609375,-13.68609375
PARM,0.0,1.0,-1.915322265625,-10.58341796875,10.58341796875
PARM,0.2,0.8,-0.7223406982421875,-7.3457421875,7.3457421875
PARM,0.4,0.6,0.89220458984375,-1.46896484375,1.46896484375
PARM,0.6,0.4,3.74033203125,7.811171875,-7.811171875
PARM,0.8,0.2,4.4883447265625,12.15453125,-12.15453125
PARM,1.0,0.0,4.947548828125,15.2891015625,-15.2891015625
