method,alpha_help,alpha_harm,help,harm,safe
EPEC_GenARM,0.0,1.0,3.9800244140625,-12.706328125,12.706328125
EPEC_GenARM,0.2,0.8,4.89345703125,-9.6125537109375,9.6125537109375
EPEC_GenARM,0.4,0.6,5.202578125,-5.176513671875,5.176513671875
EPEC_GenARM,0.6,0.4,6.2325634765625,-0.02310546875,0.02310546875
EPEC_GenARM,0.8,0.2,9.0556640625,8.9262109375,-8.9262109375
EPEC_GenARM,1.0,0.0,10.644522705078124,16.831796875,-16.831796875
EPEC_PARM,0.0,1.0,3.05673828125,-11.253359375,11.253359375
EPEC_PARM,0.2,0.8,3.3375390625,-9.63244140625,9.63244140625
EPEC_PARM,0.4,0.6,4.4644189453125,-5.881455078125,5.881455078125
EPEC_PARM,0.6,0.4,6.2223193359375,3.4719140625,-3.4719140625
EPEC_PARM,0.8,0.2,9.21947265625,12.1362109375,-12.1362109375
EPEC_PARM,1.0,0.0,9.913984375,17.473779296875,-17.473779296875
GenARM,0.0,1.0,-2.443603515625,-10.649605712890626,10.649605712890626
GenARM,0.2,0.8,-0.044273681640625,-4.916545486450195,4.916545486450195
GenARM,0.4,0.6,3.2116650390625,5.0870703125,-5.0870703125
GenARM,0.6,0.4,4.92477294921875,10.8002734375,-10.8002734375
GenARM,0.8,0.2,5.3462353515625,13.73646484375,-13.73646484375
GenARM,1.0,0.0,5.2885791015625,13.68609375,-13.68609375
PARM,0.0,1.0,-1.915322265625,-10.58341796875,10.58341796875
PARM,0.2,0.8,-0.7223406982421875,-7.3457421875,7.3457421875
PARM,0.4,0.6,0.89220458984375,-1.46896484375,1.46896484375
PARM,0.6,0.4,3.74033203125,7.811171875,-7.811171875
PARM,0.8,0.2,4.4883447265625,12.15453125,-12.15453125
PARM,1.0,0.0,4.947548828125,15.2891015625,-15.2891015625
