line_label,method,setting_name,tau,k,alpha_help,alpha_harm,help,harm,safe
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,0.0,1.0,3.9800244140625,-12.706328125,12.706328125
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,0.2,0.8,4.89345703125,-9.6125537109375,9.6125537109375
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,0.4,0.6,5.202578125,-5.176513671875,5.176513671875
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,0.6,0.4,6.2325634765625,-0.02310546875,0.02310546875
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,0.8,0.2,9.0556640625,8.9262109375,-8.9262109375
"EPEC_GenARM, N=10",EPEC_GenARM,N=10,0.1,10,1.0,0.0,10.644522705078124,16.831796875,-16.831796875
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,0.0,1.0,3.661845703125,-12.8582421875,12.8582421875
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,0.2,0.8,4.220078125,-9.571875,9.571875
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,0.4,0.6,4.938477783203125,-5.70173828125,5.70173828125
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,0.6,0.4,6.215549278259277,0.396484375,-0.396484375
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,0.8,0.2,8.9701953125,8.0344921875,-8.0344921875
"EPEC_GenARM, N=20",EPEC_GenARM,N=20,0.1,20,1.0,0.0,10.7087109375,15.8269140625,-15.8269140625
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,0.0,1.0,4.448173828125,-12.9528125,12.9528125
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,0.2,0.8,5.32613037109375,-9.3055859375,9.3055859375
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,0.4,0.6,5.2041357421875,-4.463387451171875,4.463387451171875
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,0.6,0.4,6.81416015625,1.407734375,-1.407734375
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,0.8,0.2,8.640556640625,8.26943359375,-8.26943359375
"EPEC_GenARM, N=100",EPEC_GenARM,N=100,0.1,100,1.0,0.0,10.43045654296875,16.586640625,-16.586640625
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,0.0,1.0,3.05673828125,-11.253359375,11.253359375
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,0.2,0.8,3.3375390625,-9.63244140625,9.63244140625
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,0.4,0.6,4.4644189453125,-5.881455078125,5.881455078125
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,0.6,0.4,6.2223193359375,3.4719140625,-3.4719140625
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,0.8,0.2,9.21947265625,12.1362109375,-12.1362109375
"EPEC_PARM, N=10",EPEC_PARM,N=10,0.1,10,1.0,0.0,9.913984375,17.473779296875,-17.473779296875
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,0.0,1.0,3.10717529296875,-10.2687109375,10.2687109375
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,0.2,0.8,4.1889697265625,-9.7271875,9.7271875
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,0.4,0.6,4.1551318359375,-5.40708251953125,5.40708251953125
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,0.6,0.4,5.94087890625,3.692890625,-3.692890625
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,0.8,0.2,8.01315185546875,12.78432861328125,-12.78432861328125
"EPEC_PARM, N=20",EPEC_PARM,N=20,0.1,20,1.0,0.0,9.26718505859375,18.694462890625,-18.694462890625
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,0.0,1.0,2.862060546875,-9.42048828125,9.42048828125
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,0.2,0.8,4.6094921875,-9.596181640625,9.596181640625
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,0.4,0.6,4.840517578125,-5.37125,5.37125
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,0.6,0.4,5.10816650390625,4.50607177734375,-4.50607177734375
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,0.8,0.2,8.19272705078125,14.6435302734375,-14.6435302734375
"EPEC_PARM, N=100",EPEC_PARM,N=100,0.1,100,1.0,0.0,9.078330078125,18.0601806640625,-18.0601806640625
GenARM baseline,GenARM,baseline,,,0.0,1.0,-2.4106396484375,-10.69404296875,10.69404296875
GenARM baseline,GenARM,baseline,,,0.2,0.8,0.023916015625,-4.6661328125,4.6661328125
GenARM baseline,GenARM,baseline,,,0.4,0.6,3.206748046875,4.963671875,-4.963671875
GenARM baseline,GenARM,baseline,,,0.6,0.4,4.781068725585937,10.293671875,-10.293671875
GenARM baseline,GenARM,baseline,,,0.8,0.2,5.28713623046875,13.94822265625,-13.94822265625
GenARM baseline,GenARM,baseline,,,1.0,0.0,5.3728759765625,13.61734375,-13.61734375
PARM baseline,PARM,baseline,,,0.0,1.0,-1.915322265625,-10.58341796875,10.58341796875
PARM baseline,PARM,baseline,,,0.2,0.8,-0.7223406982421875,-7.3457421875,7.3457421875
PARM baseline,PARM,baseline,,,0.4,0.6,0.89220458984375,-1.46896484375,1.46896484375
PARM baseline,PARM,baseline,,,0.6,0.4,3.74033203125,7.811171875,-7.811171875
PARM baseline,PARM,baseline,,,0.8,0.2,4.4883447265625,12.15453125,-12.15453125
PARM baseline,PARM,baseline,,,1.0,0.0,4.947548828125,15.2891015625,-15.2891015625
