line_label,method,setting_name,tau,k,alpha_help,alpha_harm,help,harm,safe
"EPEC_GenARM, τ=0.2",EPEC_GenARM,tau=0.2,0.2,50,0.0,1.0,1.873206787109375,-13.184609375,13.184609375
"EPEC_GenARM, τ=0.2",EPEC_GenARM,tau=0.2,0.2,50,0.2,0.8,2.3197021484375,-9.99546875,9.99546875
"EPEC_GenARM, τ=0.2",EPEC_GenARM,tau=0.2,0.2,50,0.4,0.6,4.0724609375,-6.531708984375,6.531708984375
"EPEC_GenARM, τ=0.2",EPEC_GenARM,tau=0.2,0.2,50,0.6,0.4,5.8728759765625,0.14325439453125,-0.14325439453125
"EPEC_GenARM, τ=0.2",EPEC_GenARM,tau=0.2,0.2,50,0.8,0.2,7.85068359375,9.8984033203125,-9.8984033203125
"EPEC_GenARM, τ=0.2",EPEC_GenARM,tau=0.2,0.2,50,1.0,0.0,9.75416015625,16.512578125,-16.512578125
"EPEC_GenARM, τ=0.3",EPEC_GenARM,tau=0.3,0.3,50,0.0,1.0,0.0354150390625,-12.259375,12.259375
"EPEC_GenARM, τ=0.3",EPEC_GenARM,tau=0.3,0.3,50,0.2,0.8,1.04051025390625,-11.3998681640625,11.3998681640625
"EPEC_GenARM, τ=0.3",EPEC_GenARM,tau=0.3,0.3,50,0.4,0.6,3.5791162109375,-6.4227197265625,6.4227197265625
"EPEC_GenARM, τ=0.3",EPEC_GenARM,tau=0.3,0.3,50,0.6,0.4,5.01474609375,0.462861328125,-0.462861328125
"EPEC_GenARM, τ=0.3",EPEC_GenARM,tau=0.3,0.3,50,0.8,0.2,8.55875,10.11763671875,-10.11763671875
"EPEC_GenARM, τ=0.3",EPEC_GenARM,tau=0.3,0.3,50,1.0,0.0,8.7171875,15.1192578125,-15.1192578125
"EPEC_GenARM, τ=0.4",EPEC_GenARM,tau=0.4,0.4,50,0.0,1.0,-1.2171954345703124,-11.9798828125,11.9798828125
"EPEC_GenARM, τ=0.4",EPEC_GenARM,tau=0.4,0.4,50,0.2,0.8,0.8155572891235352,-11.6377734375,11.6377734375
"EPEC_GenARM, τ=0.4",EPEC_GenARM,tau=0.4,0.4,50,0.4,0.6,3.05373046875,-6.241953125,6.241953125
"EPEC_GenARM, τ=0.4",EPEC_GenARM,tau=0.4,0.4,50,0.6,0.4,4.36448974609375,2.4795263671875,-2.4795263671875
"EPEC_GenARM, τ=0.4",EPEC_GenARM,tau=0.4,0.4,50,0.8,0.2,7.82142578125,11.234921875,-11.234921875
"EPEC_GenARM, τ=0.4",EPEC_GenARM,tau=0.4,0.4,50,1.0,0.0,8.27126953125,14.530703125,-14.530703125
"EPEC_PARM, τ=0.2",EPEC_PARM,tau=0.2,0.2,50,0.0,1.0,2.7832373046875,-11.404375,11.404375
"EPEC_PARM, τ=0.2",EPEC_PARM,tau=0.2,0.2,50,0.2,0.8,3.206181640625,-11.358828125,11.358828125
"EPEC_PARM, τ=0.2",EPEC_PARM,tau=0.2,0.2,50,0.4,0.6,3.436650390625,-7.93765625,7.93765625
"EPEC_PARM, τ=0.2",EPEC_PARM,tau=0.2,0.2,50,0.6,0.4,6.09064453125,2.2975830078125,-2.2975830078125
"EPEC_PARM, τ=0.2",EPEC_PARM,tau=0.2,0.2,50,0.8,0.2,9.821796875,14.253836059570313,-14.253836059570313
"EPEC_PARM, τ=0.2",EPEC_PARM,tau=0.2,0.2,50,1.0,0.0,10.841484375,16.87734375,-16.87734375
"EPEC_PARM, τ=0.3",EPEC_PARM,tau=0.3,0.3,50,0.0,1.0,0.936502685546875,-12.7819921875,12.7819921875
"EPEC_PARM, τ=0.3",EPEC_PARM,tau=0.3,0.3,50,0.2,0.8,1.983160400390625,-12.687421875,12.687421875
"EPEC_PARM, τ=0.3",EPEC_PARM,tau=0.3,0.3,50,0.4,0.6,3.093798828125,-8.721985168457032,8.721985168457032
"EPEC_PARM, τ=0.3",EPEC_PARM,tau=0.3,0.3,50,0.6,0.4,6.078232421875,1.060859375,-1.060859375
"EPEC_PARM, τ=0.3",EPEC_PARM,tau=0.3,0.3,50,0.8,0.2,9.466494140625,13.1072265625,-13.1072265625
"EPEC_PARM, τ=0.3",EPEC_PARM,tau=0.3,0.3,50,1.0,0.0,10.141884765625,16.176875,-16.176875
"EPEC_PARM, τ=0.4",EPEC_PARM,tau=0.4,0.4,50,0.0,1.0,-0.8155517578125,-13.2259375,13.2259375
"EPEC_PARM, τ=0.4",EPEC_PARM,tau=0.4,0.4,50,0.2,0.8,0.6771923828125,-11.64931640625,11.64931640625
"EPEC_PARM, τ=0.4",EPEC_PARM,tau=0.4,0.4,50,0.4,0.6,3.0266259765625,-9.1262109375,9.1262109375
"EPEC_PARM, τ=0.4",EPEC_PARM,tau=0.4,0.4,50,0.6,0.4,5.0718359375,1.7032421875,-1.7032421875
"EPEC_PARM, τ=0.4",EPEC_PARM,tau=0.4,0.4,50,0.8,0.2,8.8188330078125,13.15203125,-13.15203125
"EPEC_PARM, τ=0.4",EPEC_PARM,tau=0.4,0.4,50,1.0,0.0,8.59728515625,16.33784912109375,-16.33784912109375
GenARM baseline,GenARM,baseline,,,0.0,1.0,-2.4106396484375,-10.69404296875,10.69404296875
GenARM baseline,GenARM,baseline,,,0.2,0.8,0.023916015625,-4.6661328125,4.6661328125
GenARM baseline,GenARM,baseline,,,0.4,0.6,3.206748046875,4.963671875,-4.963671875
GenARM baseline,GenARM,baseline,,,0.6,0.4,4.781068725585937,10.293671875,-10.293671875
GenARM baseline,GenARM,baseline,,,0.8,0.2,5.28713623046875,13.94822265625,-13.94822265625
GenARM baseline,GenARM,baseline,,,1.0,0.0,5.3728759765625,13.61734375,-13.61734375
PARM baseline,PARM,baseline,,,0.0,1.0,-1.915322265625,-10.58341796875,10.58341796875
PARM baseline,PARM,baseline,,,0.2,0.8,-0.7223406982421875,-7.3457421875,7.3457421875
PARM baseline,PARM,baseline,,,0.4,0.6,0.89220458984375,-1.46896484375,1.46896484375
PARM baseline,PARM,baseline,,,0.6,0.4,3.74033203125,7.811171875,-7.811171875
PARM baseline,PARM,baseline,,,0.8,0.2,4.4883447265625,12.15453125,-12.15453125
PARM baseline,PARM,baseline,,,1.0,0.0,4.947548828125,15.2891015625,-15.2891015625
