method,alpha_help,alpha_harm,help_score,harm_score,safety_score
PARM,0.0,1.0,-0.6254443359375,-12.77015625,12.77015625
PARM,0.1,0.9,0.1105419921875,-11.46390625,11.46390625
PARM,0.2,0.8,-0.4498095703125,-9.09890625,9.09890625
PARM,0.3,0.7,-0.011925048828125,-6.70029296875,6.70029296875
PARM,0.4,0.6,1.0400830078125,-2.1601513671875,2.1601513671875
PARM,0.5,0.5,2.367825927734375,2.603671875,-2.603671875
PARM,0.6,0.4,3.61994140625,5.81734375,-5.81734375
PARM,0.7,0.3,3.453310546875,8.46919921875,-8.46919921875
PARM,0.8,0.2,3.979013671875,11.68,-11.68
PARM,0.9,0.1,4.3966748046875,12.532578125,-12.532578125
PARM,1.0,0.0,4.84716064453125,13.24375,-13.24375
GenARM,0.0,1.0,-2.8006640625,-13.5161328125,13.5161328125
GenARM,0.1,0.9,-0.841484375,-13.114921875,13.114921875
GenARM,0.2,0.8,0.5017822265625,-10.17439453125,10.17439453125
GenARM,0.3,0.7,1.918895263671875,-6.4176953125,6.4176953125
GenARM,0.4,0.6,3.3301220703125,1.198125,-1.198125
GenARM,0.5,0.5,4.3068798828125,7.2915625,-7.2915625
GenARM,0.6,0.4,5.759794921875,10.28994140625,-10.28994140625
GenARM,0.7,0.3,6.1866064453125,12.14154296875,-12.14154296875
GenARM,0.8,0.2,6.16107421875,12.69951171875,-12.69951171875
GenARM,0.9,0.1,5.8855859375,14.025,-14.025
GenARM,1.0,0.0,5.534925079345703,14.5965234375,-14.5965234375
